15,92.3762,37.8624
2,53.5165,30.0368
5,72.2976,33.1197
12,74.5904,71.048
1,92.2622,22.0728
13,57.4513,13.7759
14,76.1935,23.0446
7,84.7111,32.0922
9,78.3142,3.37384
10,89.6732,24.2914
8,71.8545,47.7325
15,92.4394,37.9444
2,53.4789,30.0842
5,72.4457,33.3034
12,74.5904,71.048
1,92.4104,22.3799
13,57.4035,13.8536
14,76.1096,23.1362
7,84.8146,32.2435
9,78.2451,3.42672
10,89.8051,24.447
8,71.9545,47.7852
15,92.4992,38.0359
2,53.4456,30.132
5,72.5918,33.479
12,74.5904,71.048
1,92.5534,22.6896
13,57.3528,13.9323
14,76.0283,23.2262
7,84.9195,32.3834
9,78.1755,3.48126
10,89.9346,24.6164
8,72.0486,47.833
15,92.5555,38.136
2,53.4165,30.1804
5,72.7356,33.6462
12,74.5904,71.048
1,92.6913,23.0008
13,57.2991,14.0122
14,75.9495,23.3148
7,85.0259,32.5121
9,78.1054,3.53754
10,90.0611,24.7991
8,72.1372,47.877
15,92.6085,38.2436
2,53.3915,30.2299
5,72.8768,33.8047
12,74.5904,71.048
1,92.8237,23.3119
13,57.2431,14.0931
14,75.8735,23.4025
7,85.1338,32.6307
9,78.035,3.59546
10,90.1839,24.9945
8,72.2203,47.9182
15,92.6576,38.3573
2,53.3705,30.2804
5,73.0154,33.9547
12,74.5904,71.048
1,92.9505,23.6216
13,57.1851,14.1752
14,75.8004,23.4896
7,85.2428,32.7395
9,77.9647,3.65476
10,90.3023,25.2018
8,72.2984,47.9572
15,92.7028,38.4762
2,53.3533,30.3324
5,73.1512,34.0964
12,74.5904,71.048
1,93.0717,23.9286
13,57.1256,14.2585
14,75.7303,23.5763
7,85.3524,32.8392
9,77.8943,3.71518
10,90.4161,25.4192
8,72.3717,47.9948
15,92.744,38.5991
2,53.3395,30.3863
5,73.2839,34.2298
12,74.5904,71.048
1,93.1874,24.2312
13,57.0654,14.3431
14,75.6629,23.6627
7,85.4624,32.9311
9,77.8242,3.77645
10,90.5251,25.6453
8,72.4403,48.0316
15,92.7815,38.7247
